source,n,n_flipped,noise_rate,acc_vs_true,acc_vs_noisy,mean_p_given,mean_p_true,mean_entropy,mean_dissonance,discovery_auroc_1m_p_given,discovery_ap_1m_p_given,discovery_auroc_entropy,discovery_auroc_dissonance,discovery_auroc_disagree,precision_at_nflip,disagree_recall,disagree_precision,correction_rate,wrong_fix_rate,clean_kept_rate,false_correction_rate,mean_vacuity,discovery_auroc_vacuity,noise_mode,requested_rate,realized_flips
scldl,1893,0,0.0,0.5356576862123613,0.5356576862123613,0.43063301708601165,0.43063301708601165,1.342621931269088,0.3060578405857086,,,,,,,,0.0,,,0.5356576862123613,0.4643423137876387,0.04582929082915415,,similar,0.0,0
scldl_model,1893,0,0.0,0.5066032752245113,0.5066032752245113,0.4336807048343057,0.4336807048343057,1.3166873908069767,0.3076777458190918,,,,,,,,0.0,,,0.5066032752245113,0.4933967247754886,,,similar,0.0,0
knn,1893,0,0.0,0.44479661912308505,0.44479661912308505,0.3677858010021014,0.3677858010021014,1.3076000765166886,0.32839274406433105,,,,,,,,0.0,,,0.44479661912308505,0.5552033808769149,,,similar,0.0,0
scldl,1893,189,0.09984152139461172,0.5409403063919704,0.4928684627575277,0.3913658839801491,0.4219033034877877,1.3788547346691422,0.30968213081359863,0.818006806269717,0.44207536362920363,0.518400526616489,0.5336618476289838,0.7355615172516581,0.43915343915343913,0.9312169312169312,0.18333333333333332,0.5502645502645502,0.38095238095238093,0.539906103286385,0.460093896713615,0.053911307149178536,0.47641714484437486,similar,0.1,189
scldl_model,1893,189,0.09984152139461172,0.5298468040147913,0.4860010565240359,0.3954269771388035,0.42681709601578527,1.342748849098493,0.3083987534046173,0.8197052686489306,0.44033324304939536,0.5155904563181559,0.5174131206995056,0.7376248230121469,0.4444444444444444,0.9417989417989417,0.1829393627954779,0.4973544973544973,0.4444444444444444,0.5334507042253521,0.4665492957746479,,,similar,0.1,189
knn,1893,189,0.09984152139461172,0.4426835710512414,0.41257263602746963,0.31914635481016695,0.33792583305119084,1.4040842748594287,0.34792375564575195,0.7339468912238865,0.2378982343706964,0.510585115632064,0.5026299773952355,0.6674491392801252,0.30687830687830686,0.8888888888888888,0.1510791366906475,0.4126984126984127,0.47619047619047616,0.4460093896713615,0.5539906103286385,,,similar,0.1,189
scldl,1893,379,0.20021130480718435,0.502905441098785,0.4294770206022187,0.33228405831062874,0.38398771216218125,1.4574175291948095,0.34839728474617004,0.7654329163515197,0.4853019689774889,0.4972063728856094,0.4847091177157436,0.6876679574629753,0.46437994722955145,0.8707124010554089,0.3055555555555556,0.49604221635883905,0.37467018469656993,0.5046235138705416,0.4953764861294584,0.04740576871424299,0.5116014820339976,similar,0.2,379
scldl_model,1893,379,0.20021130480718435,0.5129424194400423,0.4247226624405705,0.3354936351366705,0.38883767886021126,1.4165020778322281,0.3499959111213684,0.7651436199691184,0.48313630237840044,0.49588362617330595,0.48778158471678584,0.7226344792490842,0.46701846965699206,0.9313984168865436,0.3241505968778696,0.5092348284960422,0.42216358839050133,0.5138705416116248,0.4861294583883752,,,similar,0.2,379
knn,1893,379,0.20021130480718435,0.4215530903328051,0.3692551505546751,0.2745035357037298,0.3036262640209029,1.494304840432279,0.36788296699523926,0.681498624970809,0.32294441818677777,0.511408036862633,0.5174457917832856,0.6434212956992433,0.36147757255936674,0.8601583113456465,0.2730318257956449,0.40105540897097625,0.45910290237467016,0.42668428005284015,0.5733157199471598,,,similar,0.2,379
scldl,1893,569,0.300581088219757,0.5187533016376122,0.38932910723718966,0.30114185058530735,0.36352527683317404,1.4893273312237232,0.37896835803985596,0.7059199103743781,0.5321954225589738,0.49170777162457063,0.4848305449216572,0.7054533314926806,0.44815465729349735,0.8980667838312829,0.4420415224913495,0.5325131810193322,0.3655536028119508,0.5128398791540786,0.4871601208459215,0.047529604940291945,0.5128398791540786,similar,0.3,569
