source,n,n_flipped,noise_rate,acc_vs_true,acc_vs_noisy,mean_p_given,mean_p_true,mean_entropy,mean_dissonance,discovery_auroc_1m_p_given,discovery_ap_1m_p_given,discovery_auroc_entropy,discovery_auroc_dissonance,discovery_auroc_disagree,precision_at_nflip,disagree_recall,disagree_precision,correction_rate,wrong_fix_rate,clean_kept_rate,false_correction_rate,mean_vacuity,discovery_auroc_vacuity,noise_mode,requested_rate,realized_flips
scldl,1893,0,0.0,0.5250924458531432,0.5250924458531432,0.43306136423856223,0.43306136423856223,1.322460548412618,0.3019184470176697,,,,,,,,0.0,,,0.5250924458531432,0.4749075541468568,0.04883096095300499,,uniform,0.0,0
scldl_model,1893,0,0.0,0.5066032752245113,0.5066032752245113,0.4365404779350383,0.4365404779350383,1.2928444524684881,0.29874345660209656,,,,,,,,0.0,,,0.5066032752245113,0.4933967247754886,,,uniform,0.0,0
knn,1893,0,0.0,0.44479661912308505,0.44479661912308505,0.3677858010021014,0.3677858010021014,1.3076000765166886,0.32839274406433105,,,,,,,,0.0,,,0.44479661912308505,0.5552033808769149,,,uniform,0.0,0
scldl,1893,189,0.09984152139461172,0.5335446381405177,0.485472794506075,0.3857391936380669,0.42476662960412925,1.3987338514859382,0.2999788224697113,0.9233611545818118,0.7228023086197212,0.5080948654892317,0.5040179347691085,0.7490871152842983,0.6984126984126984,0.9629629629629629,0.1868583162217659,0.5185185185185185,0.4444444444444444,0.5352112676056338,0.4647887323943662,0.058114305275359046,0.4977395235611198,uniform,0.1,189
scldl_model,1893,189,0.09984152139461172,0.525620707871104,0.48019017432646594,0.3910349786119354,0.4308487792681766,1.3495012106440751,0.29477137327194214,0.920957845840475,0.6989913756861146,0.5104112328290731,0.509104006756589,0.7402749832327297,0.7037037037037037,0.9523809523809523,0.18292682926829268,0.5026455026455027,0.4497354497354497,0.528169014084507,0.47183098591549294,,,uniform,0.1,189
knn,1893,189,0.09984152139461172,0.4463814051769678,0.4041204437400951,0.30660358533987403,0.3340408365860605,1.495286804115633,0.3427489399909973,0.8756101423354945,0.5049441646588978,0.5011178180192265,0.4921861415406016,0.7009603919815187,0.6031746031746031,0.9576719576719577,0.16046099290780141,0.4656084656084656,0.49206349206349204,0.4442488262910798,0.5557511737089202,,,uniform,0.1,189
scldl,1893,379,0.20021130480718435,0.5330163761225568,0.43898573692551507,0.3422777385191256,0.41508798464877866,1.4561268957245441,0.30077916383743286,0.9243611952471741,0.809353477751439,0.49982223957225963,0.4954200548617478,0.746396865839674,0.7546174142480211,0.9551451187335093,0.3408662900188324,0.5145118733509235,0.44063324538258575,0.5376486129458389,0.4623513870541612,0.07145032398028785,0.5104294831354151,uniform,0.2,379
scldl_model,1893,379,0.20021130480718435,0.5346011621764395,0.4363444268357105,0.348128367798517,0.4225478583112422,1.3951647897112032,0.2983941435813904,0.9218254950279363,0.7989092945717611,0.5012809207293057,0.4983827286574208,0.7463951230903823,0.7467018469656992,0.9577836411609498,0.3402061855670103,0.5329815303430079,0.42480211081794195,0.535006605019815,0.46499339498018494,,,uniform,0.2,379
knn,1893,379,0.20021130480718435,0.4358161648177496,0.3544638140517697,0.2583604884514466,0.30951360053231775,1.6225301010300561,0.34142744541168213,0.8749298543410142,0.627765204093589,0.489790103275323,0.49874522051006787,0.7051032927505114,0.6200527704485488,0.9736147757255936,0.3019639934533552,0.43271767810026385,0.5408970976253298,0.43659180977542933,0.5634081902245707,,,uniform,0.2,379
scldl,1893,569,0.300581088219757,0.5108293713681986,0.3618594823032224,0.2848757450827739,0.38420085444157415,1.5762240095530489,0.32408297061920166,0.9114508943978678,0.8417807345124952,0.4895852691157965,0.5021921906774486,0.7385837505774162,0.7609841827768014,0.9718804920913884,0.45778145695364236,0.523725834797891,0.44815465729349735,0.5052870090634441,0.4947129909365559,0.06647972304450729,0.4993741338756179,uniform,0.3,569
scldl_model,1893,569,0.300581088219757,0.5060750132065505,0.3618594823032224,0.29035234614613636,0.39213108679668846,1.5116423697651402,0.3228391408920288,0.907493933810841,0.8336338983246937,0.49005516648171643,0.4914462750678298,0.733558238070713,0.7557117750439367,0.9648506151142355,0.4544701986754967,0.5149384885764499,0.44991212653778556,0.5022658610271903,0.49773413897280966,,,uniform,0.3,569
knn,1893,569,0.300581088219757,0.4352879027997887,0.3153724247226624,0.208927208222193,0.27412811872375686,1.7463610580748574,0.3549925982952118,0.8462499800890946,0.6755955952003991,0.48412968105384435,0.5030092014930524,0.7015819877985972,0.6449912126537786,0.9666080843585237,0.4243827160493827,0.43233743409490333,0.5342706502636204,0.43655589123867067,0.5634441087613293,,,uniform,0.3,569
scldl,1893,946,0.49973586899101957,0.4712097200211305,0.26465927099841524,0.18443952954175738,0.308758757899137,1.8560476413175035,0.3524344265460968,0.8893880977204078,0.8895776002162699,0.494463432984098,0.49708883734325154,0.7180324648215908,0.8044397463002114,0.9534883720930233,0.6479885057471264,0.459830866807611,0.49365750528541225,0.4825765575501584,0.5174234424498416,0.07620891261052752,0.5003538491419438,uniform,0.5,946
scldl_model,1893,946,0.49973586899101957,0.47649234020073955,0.2688853671421025,0.18862620253205434,0.3176997747114573,1.7864737286209054,0.3511839807033539,0.8865193523109586,0.8866772646773853,0.4956957656424762,0.497063163746202,0.7254259026501849,0.806553911205074,0.9566596194503171,0.6539017341040463,0.4587737843551797,0.4978858350951374,0.4941921858500528,0.5058078141499472,,,uniform,0.5,946
knn,1893,946,0.49973586899101957,0.40200739566825144,0.22503961965134706,0.13641751976757532,0.20471538196338024,2.0005163876253897,0.3856774866580963,0.7941502151000935,0.7620211076863144,0.4880506149384615,0.5029613936074976,0.6773772076502854,0.7167019027484144,0.952431289640592,0.6141785957736878,0.40169133192389006,0.5507399577167019,0.40232312565997885,0.5976768743400211,,,uniform,0.5,946
