source,n,n_flipped,noise_rate,acc_vs_true,acc_vs_noisy,mean_p_given,mean_p_true,mean_entropy,mean_dissonance,discovery_auroc_1m_p_given,discovery_ap_1m_p_given,discovery_auroc_entropy,discovery_auroc_dissonance,discovery_auroc_disagree,precision_at_nflip,disagree_recall,disagree_precision,correction_rate,wrong_fix_rate,clean_kept_rate,false_correction_rate,mean_vacuity,discovery_auroc_vacuity,noise_mode,requested_rate,realized_flips,variant,seed,dataset
scldl,1260,0,0.0,0.24523809523809523,0.24523809523809523,0.204023016121475,0.204023016121475,1.4890555790004023,0.3875129222869873,,,,,,,,0.0,,,0.24523809523809523,0.7547619047619047,0.05887294672429562,,similar,0.0,0,baseline,0,lymphnode
scldl_model,1260,0,0.0,0.24603174603174602,0.24603174603174602,0.20662517433779107,0.20662517433779107,1.431048890061179,0.382627010345459,,,,,,,,0.0,,,0.24603174603174602,0.753968253968254,,,similar,0.0,0,baseline,0,lymphnode
knn,1260,0,0.0,0.20555555555555555,0.20555555555555555,0.1735332057086958,0.1735332057086958,1.5959918153177257,0.4103112518787384,,,,,,,,0.0,,,0.20555555555555555,0.7944444444444444,,,similar,0.0,0,baseline,0,lymphnode
scldl,1260,126,0.1,0.25873015873015875,0.24365079365079365,0.2084671521755231,0.21444589640642148,1.5175131994850763,0.3876764178276062,0.5943772570756698,0.12084624417946271,0.4727716189356401,0.48238781109151485,0.5824514991181657,0.1349206349206349,0.9047619047619048,0.11962224554039874,0.24603174603174602,0.6587301587301587,0.2601410934744268,0.7398589065255732,0.05729216562495345,0.477047815010778,similar,0.1,126,baseline,0,lymphnode
scldl_model,1260,126,0.1,0.2492063492063492,0.2357142857142857,0.21214047687438628,0.21857730258950994,1.4642253386874151,0.382770299911499,0.5965538478765992,0.12270375343089046,0.47343649393913945,0.4810650597687635,0.5692239858906525,0.1349206349206349,0.8888888888888888,0.11630321910695743,0.24603174603174602,0.6428571428571429,0.2495590828924162,0.7504409171075838,,,similar,0.1,126,baseline,0,lymphnode
knn,1260,126,0.1,0.17222222222222222,0.16507936507936508,0.16589980740395804,0.1666768134527263,1.6100225397147268,0.41901805996894836,0.48619159597995576,0.10807868334364625,0.4631414294112707,0.5150856638951877,0.5299823633156967,0.14285714285714285,0.8888888888888888,0.10646387832699619,0.18253968253968253,0.7063492063492064,0.1710758377425044,0.8289241622574955,,,similar,0.1,126,baseline,0,lymphnode
scldl,1260,252,0.2,0.2357142857142857,0.2261904761904762,0.19520805020583792,0.20279131680154167,1.5013671764616963,0.3830355107784271,0.563980221718317,0.218362175603248,0.5084443499622071,0.4899061476442429,0.5496031746031746,0.2222222222222222,0.8531746031746031,0.2205128205128205,0.19444444444444445,0.6587301587301587,0.24603174603174602,0.753968253968254,0.06381536127319412,0.48793776769967245,similar,0.2,252,baseline,0,lymphnode
scldl_model,1260,252,0.2,0.2357142857142857,0.22142857142857142,0.19765545346271543,0.20622960655166517,1.4446158085310328,0.3776772618293762,0.5665430524061477,0.2175788121822631,0.5126094419249181,0.48837277966742254,0.5565476190476191,0.23412698412698413,0.8690476190476191,0.22324159021406728,0.20238095238095238,0.6666666666666666,0.24404761904761904,0.7559523809523809,,,similar,0.2,252,baseline,0,lymphnode
knn,1260,252,0.2,0.17777777777777778,0.1873015873015873,0.16870504455966137,0.1647974404550734,1.6118288306626192,0.41316261887550354,0.4653092718568909,0.18545372588937853,0.48461907911312674,0.48258771101033004,0.4880952380952381,0.1626984126984127,0.7936507936507936,0.1953125,0.15873015873015872,0.6349206349206349,0.18253968253968253,0.8174603174603174,,,similar,0.2,252,baseline,0,lymphnode
scldl,1260,378,0.3,0.22063492063492063,0.20634920634920634,0.18157242686461864,0.1921371238064095,1.5313395302392583,0.38417842984199524,0.5093552412146516,0.2945127129826971,0.5187209804556743,0.5264295312481254,0.5321239606953893,0.2962962962962963,0.8386243386243386,0.317,0.20899470899470898,0.6296296296296297,0.2256235827664399,0.7743764172335601,0.061115346197038886,0.4885016616876027,similar,0.3,378,baseline,0,lymphnode
scldl_model,1260,378,0.3,0.21984126984126984,0.1976190476190476,0.1820850852226454,0.19465175140870825,1.4795766946770108,0.377861887216568,0.5144992741364623,0.295794384438953,0.5239789919495135,0.5328813183121573,0.5353363567649282,0.30423280423280424,0.8518518518518519,0.31849653808110784,0.2222222222222222,0.6296296296296297,0.21882086167800455,0.7811791383219955,,,similar,0.3,378,baseline,0,lymphnode
knn,1260,378,0.3,0.16984126984126985,0.19365079365079366,0.17342505957044307,0.16239904542231842,1.5851352097421976,0.407723993062973,0.43729828792187064,0.2687988296756373,0.4713538854695317,0.46105082244538026,0.4663643235071807,0.25396825396825395,0.7592592592592593,0.2824803149606299,0.16137566137566137,0.5978835978835979,0.17346938775510204,0.826530612244898,,,similar,0.3,378,baseline,0,lymphnode
scldl,1260,630,0.5,0.21904761904761905,0.18968253968253967,0.1695143144614699,0.18627569428238544,1.5844552459106849,0.40139657258987427,0.515830183925422,0.487340314456967,0.4824414210128496,0.5030385487528345,0.5198412698412699,0.5047619047619047,0.8301587301587302,0.5122428991185113,0.22857142857142856,0.6015873015873016,0.20952380952380953,0.7904761904761904,0.05967755654442405,0.5021164021164021,similar,0.5,630,baseline,0,lymphnode
scldl_model,1260,630,0.5,0.21984126984126984,0.17857142857142858,0.16750831812886255,0.18861190819196286,1.5373849254679204,0.3967585861682892,0.5282741244646006,0.4988265062291541,0.48394053917863444,0.4983093978332074,0.530952380952381,0.5079365079365079,0.8523809523809524,0.518840579710145,0.23015873015873015,0.6222222222222222,0.20952380952380953,0.7904761904761904,,,similar,0.5,630,baseline,0,lymphnode
knn,1260,630,0.5,0.14285714285714285,0.22698412698412698,0.18348431157332565,0.15820655192706792,1.557424800984486,0.3754790425300598,0.40458427815570674,0.43703067378510196,0.49047367094986144,0.48992693373645757,0.4253968253968254,0.4396825396825397,0.6984126984126984,0.4517453798767967,0.13333333333333333,0.5650793650793651,0.1523809523809524,0.8476190476190476,,,similar,0.5,630,baseline,0,lymphnode
