source,n,n_flipped,noise_rate,acc_vs_true,acc_vs_noisy,mean_p_given,mean_p_true,mean_entropy,mean_dissonance,discovery_auroc_1m_p_given,discovery_ap_1m_p_given,discovery_auroc_entropy,discovery_auroc_dissonance,discovery_auroc_disagree,precision_at_nflip,disagree_recall,disagree_precision,correction_rate,wrong_fix_rate,clean_kept_rate,false_correction_rate,mean_vacuity,discovery_auroc_vacuity,noise_mode,requested_rate,realized_flips,variant,seed,dataset
scldl,1260,0,0.0,0.25555555555555554,0.25555555555555554,0.20716425536111707,0.20716425536111707,1.4826318764426787,0.3773292601108551,,,,,,,,0.0,,,0.25555555555555554,0.7444444444444445,0.06508384154784301,,uniform,0.0,0,baseline,0,lymphnode
scldl_model,1260,0,0.0,0.25476190476190474,0.25476190476190474,0.20998710012876443,0.20998710012876443,1.4216360976936206,0.37377792596817017,,,,,,,,0.0,,,0.25476190476190474,0.7452380952380953,,,uniform,0.0,0,baseline,0,lymphnode
knn,1260,0,0.0,0.20555555555555555,0.20555555555555555,0.1735332057086958,0.1735332057086958,1.5959918153177257,0.4103112518787384,,,,,,,,0.0,,,0.20555555555555555,0.7944444444444444,,,uniform,0.0,0,baseline,0,lymphnode
scldl,1260,126,0.1,0.2396825396825397,0.22301587301587303,0.1936534754098541,0.198790189678899,1.5500766686243013,0.3883460760116577,0.6228689006466784,0.19315682426329672,0.48283222754122224,0.5252302567117382,0.5665784832451499,0.24603174603174602,0.8968253968253969,0.11542390194075587,0.2698412698412698,0.626984126984127,0.23633156966490299,0.763668430335097,0.055974613121222885,0.4750426919739089,uniform,0.1,126,baseline,0,lymphnode
scldl_model,1260,126,0.1,0.2357142857142857,0.2222222222222222,0.19620865936010395,0.20168364968165636,1.4981701925766282,0.3843469023704529,0.6272430783012793,0.2026488771509921,0.49718652893256066,0.5279667422524565,0.5617283950617284,0.25396825396825395,0.8888888888888888,0.11428571428571428,0.24603174603174602,0.6428571428571429,0.2345679012345679,0.7654320987654321,,,uniform,0.1,126,baseline,0,lymphnode
knn,1260,126,0.1,0.176984126984127,0.17539682539682538,0.16217361231822344,0.16394171176980885,1.649227126464339,0.4170674681663513,0.5392766159961927,0.1218800790945981,0.4351851851851851,0.5044371658128272,0.4916225749559082,0.16666666666666666,0.8095238095238095,0.09817131857555342,0.20634920634920634,0.6031746031746031,0.17372134038800705,0.826278659611993,,,uniform,0.1,126,baseline,0,lymphnode
scldl,1260,252,0.2,0.23492063492063492,0.2150793650793651,0.18622442612624063,0.19764929308947768,1.5560457784387118,0.39570069313049316,0.6101151108591585,0.2829648775102759,0.5277344734189973,0.4913430650037792,0.5476190476190476,0.28174603174603174,0.8611111111111112,0.21941354903943378,0.23809523809523808,0.623015873015873,0.23412698412698413,0.7658730158730159,0.0627245676866363,0.5074050453514739,uniform,0.2,252,baseline,0,lymphnode
scldl_model,1260,252,0.2,0.23174603174603176,0.21349206349206348,0.188541831784246,0.20070999073352488,1.4980195633739468,0.39145851135253906,0.6103316326530612,0.29142633362429876,0.5272699357520786,0.4844064940791131,0.5491071428571428,0.2777777777777778,0.8650793650793651,0.2199798183652876,0.2261904761904762,0.6388888888888888,0.23313492063492064,0.7668650793650794,,,uniform,0.2,252,baseline,0,lymphnode
knn,1260,252,0.2,0.18253968253968253,0.173015873015873,0.1616298018585122,0.1651793199694819,1.6684848770319414,0.41653335094451904,0.5503787163013354,0.22409542802724933,0.5052949420508944,0.5077278596623835,0.5287698412698413,0.23412698412698413,0.873015873015873,0.21113243761996162,0.1746031746031746,0.6984126984126984,0.18452380952380953,0.8154761904761905,,,uniform,0.2,252,baseline,0,lymphnode
scldl,1260,378,0.3,0.2261904761904762,0.21428571428571427,0.17824569858706718,0.18760996377797767,1.600647265659662,0.39773035049438477,0.6018098597463677,0.39143612112637927,0.4899488896087536,0.4939831311713398,0.5472411186696902,0.4021164021164021,0.8518518518518519,0.32525252525252524,0.18783068783068782,0.6640211640211641,0.24263038548752835,0.7573696145124716,0.06358703300652523,0.5058668970233595,uniform,0.3,378,baseline,0,lymphnode
scldl_model,1260,378,0.3,0.2261904761904762,0.21666666666666667,0.1806445888025568,0.19002735229829948,1.5392735150578039,0.3929465115070343,0.5997402488332193,0.3911971529497411,0.4913406279619431,0.5012927569616912,0.5508314436885865,0.3994708994708995,0.8544973544973545,0.3272543059777102,0.17724867724867724,0.6772486772486772,0.2471655328798186,0.7528344671201814,,,uniform,0.3,378,baseline,0,lymphnode
knn,1260,378,0.3,0.1880952380952381,0.16587301587301587,0.15380978580741655,0.16279322368107618,1.73007119570238,0.4258612394332886,0.586959651585502,0.36474904158967736,0.501502717489112,0.5250662875379428,0.5277777777777778,0.3915343915343915,0.873015873015873,0.3139866793529971,0.20105820105820105,0.671957671957672,0.18253968253968253,0.8174603174603174,,,uniform,0.3,378,baseline,0,lymphnode
scldl,1260,630,0.5,0.21428571428571427,0.17142857142857143,0.15674170440188534,0.17488909190934565,1.6752615725587359,0.4145032465457916,0.6139380196523053,0.602476675409904,0.4959234063995968,0.5099647266313933,0.5460317460317461,0.5714285714285714,0.8746031746031746,0.5277777777777778,0.2111111111111111,0.6634920634920635,0.21746031746031746,0.7825396825396825,0.05758454464080315,0.5203325774754346,uniform,0.5,630,baseline,0,lymphnode
scldl_model,1260,630,0.5,0.20952380952380953,0.1634920634920635,0.15774918060254542,0.17755897983775606,1.6257075593253856,0.4110089838504791,0.616329050138574,0.6055598156668246,0.49364575459813553,0.5030486268581507,0.5476190476190477,0.573015873015873,0.8841269841269841,0.5284629981024668,0.20793650793650795,0.6761904761904762,0.2111111111111111,0.7888888888888889,,,uniform,0.5,630,baseline,0,lymphnode
knn,1260,630,0.5,0.16507936507936508,0.14761904761904762,0.14697136139822384,0.14985779393759985,1.7562148076121913,0.4311463236808777,0.5147946586041824,0.5214918293179688,0.5022877299067775,0.4969286974048879,0.4984126984126984,0.5095238095238095,0.8507936507936508,0.49906890130353815,0.18412698412698414,0.6666666666666666,0.14603174603174604,0.8539682539682539,,,uniform,0.5,630,baseline,0,lymphnode
